"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/ControlRig/Controls/ControlRigGizmoMaterial.ControlRigGizmoMaterial","0","0","4","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","0","0","6","1","0.000000","0","0"
"/Engine/EngineMaterials/GizmoMaterial.GizmoMaterial","0","0","6","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/DebugMeshMaterial.DebugMeshMaterial","0","0","9","1","0.000000","0","0"
"/Engine/EngineMaterials/RemoveSurfaceMaterial.RemoveSurfaceMaterial","0","0","4","1","0.000000","0","0"
"/HairStrands/Materials/HairMeshesDefaultMaterial.HairMeshesDefaultMaterial","0","0","63","1","0.000000","0","0"
"/HairStrands/Materials/HairCardsDefaultMaterial.HairCardsDefaultMaterial","0","0","104","1","0.000000","0","0"
"/HairStrands/Materials/HairDefaultMaterial.HairDefaultMaterial","0","0","63","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/M_SimpleUnlitTranslucent.M_SimpleUnlitTranslucent","0","0","9","1","0.000000","0","0"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","0","0","28","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/Xray.Xray","0","0","14","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/Main.Main","0","0","9","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","0","0","9","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","0","0","43","1","0.000000","0","0"
"/Game/M4A4_Animated/VFX/Materials/Flares/M_Tri_Test.M_Tri_Test","0","70","1","1","88.474525","0","238"
"/Game/M4A4_Animated/Geometry/Meshes/CubeMaterial.CubeMaterial","0","37","2","1","77.535561","0","289"
"/Game/M4A4_Animated/VFX/Materials/Smoke/DirectionalLit/M_ResidualMuzzleSmoke_Master.M_ResidualMuzzleSmoke_Master","0","96","4","1","201.639526","0","2459"
"/Engine/EngineMaterials/FlattenMaterial_WS_Normal_VT.FlattenMaterial_WS_Normal_VT","0","0","66","1","0.000000","0","0"
"/Engine/EngineMaterials/FlattenMaterial_VT.FlattenMaterial_VT","0","0","66","1","0.000000","0","0"
"/Engine/EngineMaterials/FlattenMaterial.FlattenMaterial","0","0","66","1","0.000000","0","0"
"/Engine/EngineMaterials/M_InvalidLightmapSettings.M_InvalidLightmapSettings","0","0","28","1","0.000000","0","0"
"/Engine/EngineMaterials/EmissiveMeshMaterial.EmissiveMeshMaterial","0","0","9","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/M_VolumeRenderSphereTracePP.M_VolumeRenderSphereTracePP","0","0","6","1","0.000000","0","0"
"/Engine/EngineMaterials/PhAT_JointLimitMaterial.PhAT_JointLimitMaterial","0","0","13","1","0.000000","0","0"
"/ControlRig/M_Manip.M_Manip","0","0","13","1","0.000000","0","0"
"/Paper2D/DefaultSpriteMaterial.DefaultSpriteMaterial","0","0","75","2","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/TransformGizmoMaterial.TransformGizmoMaterial","0","0","4","1","0.000000","0","0"
"/Engine/EditorMaterials/WorldPartition/WorldPartitionSpatialHashGridPreviewMaterial.WorldPartitionSpatialHashGridPreviewMaterial","0","0","6","1","0.000000","0","0"
"/HairStrands/Materials/HairDebugMaterial.HairDebugMaterial","0","0","104","1","0.000000","0","0"
"/Engine/EngineSky/VolumetricClouds/m_SimpleVolumetricCloud.m_SimpleVolumetricCloud","0","0","56","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultPostProcessMaterial.DefaultPostProcessMaterial","0","0","10","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultDeferredDecalMaterial.DefaultDeferredDecalMaterial","0","0","101","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultMaterial.DefaultMaterial","0","0","167","1","0.000000","0","0"
"/Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial","0","0","1288","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultTextMaterialOpaque.DefaultTextMaterialOpaque","0","0","31","1","0.000000","0","0"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","0","0","66","6","0.000000","0","9"
"/Game/M4A4_Animated/Gun/Materials/Skin_Black/M_Stock_Black.M_Stock_Black","0","28","1","1","69.713280","0","398"
"/Game/M4A4_Animated/Gun/Materials/Shared_Mats_(Used_Across_All_Skins)/M_EjectionTube_4K.M_EjectionTube_4K","0","28","2","1","67.520844","0","414"
"/Game/M4A4_Animated/Gun/Materials/Skin_Black/M_Body_Black.M_Body_Black","0","28","2","1","69.283875","0","319"
"/Game/M4A4_Animated/Gun/Materials/Shared_Mats_(Used_Across_All_Skins)/M_Aim_Point_4K.M_Aim_Point_4K","0","48","2","1","124.595245","0","792"
"/Game/M4A4_Animated/Gun/Materials/Skin_Black/M_Addons_Black.M_Addons_Black","0","28","4","1","67.627235","0","256"
"/Game/M4A4_Animated/Gun/Materials/Shared_Mats_(Used_Across_All_Skins)/M_Aim_Point.M_Aim_Point","0","48","1","1","118.326492","0","881"
"/Game/M4A4_Animated/Gun/Materials/Shared_Mats_(Used_Across_All_Skins)/M_Barrel.M_Barrel","0","28","1","1","64.953178","0","326"
"/Game/M4A4_Animated/Bullet/Bullet/M_Bullet.M_Bullet","0","28","1","1","52.890064","0","375"
"/Game/M4A4_Animated/Arms/Arms_Textures_And_Mats/Materials/M_Hands_Light_4K.M_Hands_Light_4K","0","28","1","1","69.320457","0","307"
"/Game/M4A4_Animated/Arms/Arms_Textures_And_Mats/Materials/M_Hands_Tanned_4K.M_Hands_Tanned_4K","0","28","1","1","68.916618","0","255"
"/Game/M4A4_Animated/Arms/Arms_Textures_And_Mats/Materials/M_Hands_Dark_4K.M_Hands_Dark_4K","0","28","1","1","69.263870","0","197"
"/Game/M4A4_Animated/Arms/Arms_Textures_And_Mats/Materials/M_Gloves_4K.M_Gloves_4K","0","28","1","1","67.935692","0","233"
"/Game/M4A4_Animated/Arms/Arms_Textures_And_Mats/Materials/M_Cloths_4K.M_Cloths_4K","0","28","1","1","67.769875","0","204"
"/Engine/EngineMaterials/PPM_DefaultCalibrationGrayscale.PPM_DefaultCalibrationGrayscale","0","0","6","1","0.000000","0","0"
"/Engine/EngineMaterials/PPM_DefaultCalibrationColor.PPM_DefaultCalibrationColor","0","0","6","1","0.000000","0","0"
"/Game/M4A4_Animated/VFX/Materials/Smoke/Hyperbreach/M_Smoke_Offset_Particles_SubUV_Details_UNLIT.M_Smoke_Offset_Particles_SubUV_Details_UNLIT","0","48","1","1","73.648247","0","469"
"/Game/M4A4_Animated/VFX/Materials/Flares/M_SuperSoft_Glow_LDR.M_SuperSoft_Glow_LDR","0","36","2","1","48.971912","0","313"
"/Game/M4A4_Animated/VFX/Materials/Flares/M_Muzzle_Flash.M_Muzzle_Flash","0","36","5","1","64.746971","0","277"
"/Game/M4A4_Animated/VFX/Materials/Smoke/DirectionalLit/M_Directional_Lit_DepthSmoke_Master.M_Directional_Lit_DepthSmoke_Master","0","192","8","2","196.257416","0","2474"
"/Engine/EditorMaterials/PreviewShadowIndicatorMaterial.PreviewShadowIndicatorMaterial","0","0","43","1","0.000000","0","0"
"/Engine/EngineMaterials/AntiAliasedTextMaterialTranslucent.AntiAliasedTextMaterialTranslucent","0","0","24","1","0.000000","0","0"
"/Engine/EngineSky/M_Sky_Panning_Clouds2.M_Sky_Panning_Clouds2","0","0","4","1","0.000000","0","0"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeBillboardMaster.SpeedTreeBillboardMaster","0","0","62","1","0.000000","0","0"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeMaster.SpeedTreeMaster","0","0","88","1","0.000000","0","0"
